Index,Hogwarts House,First Name,Last Name,Birthday,Best Hand,Arithmancy,Astronomy,Herbology,Defense,Divination,Muggle Studies,Ancient Runes,History,Transfiguration,Potions,Charms,Flying
183,Slytherin,Student183,Name183,2000-01-01,Right,57.14,40.23,45.40,32.72,56.42,47.66,66.69,43.05,47.38,84.74,52.68,84.80
184,Gryffindor,Student184,Name184,2000-01-01,Right,37.02,24.49,39.73,57.16,28.27,73.67,29.64,31.51,56.56,42.87,55.25,60.84
185,Hufflepuff,Student185,Name185,2000-01-01,Left,64.45,63.64,79.42,71.05,39.42,58.94,64.56,66.24,58.37,74.60,47.49,29.75
186,Ravenclaw,Student186,Name186,2000-01-01,Right,53.63,59.12,58.29,65.06,55.25,56.51,63.68,66.61,83.03,75.85,82.34,45.99
187,Slytherin,Student187,Name187,2000-01-01,Right,53.80,35.74,54.30,45.32,53.26,46.86,60.87,37.56,52.10,88.40,63.15,69.44
188,Gryffindor,Student188,Name188,2000-01-01,Right,51.89,21.15,60.60,74.82,49.39,22.42,31.31,70.71,83.09,61.18,16.50,51.96
189,Hufflepuff,Student189,Name189,2000-01-01,Left,67.07,33.08,53.10,100.00,41.80,64.31,61.57,40.27,75.91,54.02,57.24,77.28
190,Ravenclaw,Student190,Name190,2000-01-01,Right,56.04,84.06,43.93,48.31,66.54,62.83,66.40,70.06,57.79,64.82,52.13,46.80
191,Slytherin,Student191,Name191,2000-01-01,Right,57.11,61.47,72.40,26.03,47.12,38.94,85.61,43.90,95.94,47.08,60.24,49.21
192,Gryffindor,Student192,Name192,2000-01-01,Right,50.05,63.65,67.02,47.63,37.22,34.44,39.51,44.45,45.88,63.44,39.37,42.00
193,Hufflepuff,Student193,Name193,2000-01-01,Left,42.95,53.81,83.26,44.39,67.71,55.89,80.87,55.40,47.37,30.84,33.59,55.72
194,Ravenclaw,Student194,Name194,2000-01-01,Right,87.10,72.19,53.19,70.57,62.82,66.52,71.44,53.00,47.89,45.88,51.29,51.27
195,Slytherin,Student195,Name195,2000-01-01,Right,66.55,52.06,48.52,43.73,71.04,65.84,59.49,50.20,64.74,67.37,52.00,47.61
196,Gryffindor,Student196,Name196,2000-01-01,Right,68.86,69.30,51.71,91.62,44.96,64.46,57.42,44.87,49.81,62.76,56.58,54.59
197,Hufflepuff,Student197,Name197,2000-01-01,Right,54.80,54.33,62.08,51.16,58.37,82.39,78.10,56.35,68.29,14.24,47.95,53.75
198,Ravenclaw,Student198,Name198,2000-01-01,Left,51.97,81.29,60.40,62.80,65.97,49.46,68.69,40.18,96.63,90.05,76.50,64.42
199,Slytherin,Student199,Name199,2000-01-01,Left,50.51,36.93,41.36,39.22,58.97,57.58,48.46,22.59,60.90,73.58,55.31,34.98
200,Gryffindor,Student200,Name200,2000-01-01,Right,62.69,37.02,62.71,79.30,61.44,59.62,33.40,37.94,64.16,32.41,72.69,47.04
201,Hufflepuff,Student201,Name201,2000-01-01,Right,37.21,53.01,69.83,37.45,85.18,70.77,71.82,50.07,63.40,66.48,39.72,39.77
202,Ravenclaw,Student202,Name202,2000-01-01,Right,100.00,62.12,70.12,76.97,46.99,49.04,54.59,41.78,89.68,47.74,70.58,50.59
203,Slytherin,Student203,Name203,2000-01-01,Left,65.13,51.31,49.36,42.71,37.78,32.22,39.88,61.82,71.16,79.21,45.98,46.94
204,Gryffindor,Student204,Name204,2000-01-01,Right,39.92,39.28,61.64,52.62,28.54,63.49,61.49,30.45,81.26,64.38,56.35,36.19
205,Hufflepuff,Student205,Name205,2000-01-01,Left,68.72,63.26,50.32,55.94,46.02,82.99,54.56,47.45,43.90,32.49,74.12,81.79
206,Ravenclaw,Student206,Name206,2000-01-01,Right,74.93,41.55,53.90,61.78,62.31,43.36,84.48,48.13,91.75,59.99,64.25,55.40
207,Slytherin,Student207,Name207,2000-01-01,Right,54.68,47.22,31.38,63.94,30.60,45.05,52.24,58.51,70.64,81.80,53.16,44.36
208,Gryffindor,Student208,Name208,2000-01-01,Right,78.77,48.17,55.58,86.94,38.66,55.74,76.88,37.59,28.59,44.17,59.08,49.39
209,Hufflepuff,Student209,Name209,2000-01-01,Right,34.30,67.03,69.20,55.99,42.65,72.70,62.70,49.55,64.18,15.10,60.43,48.39
210,Ravenclaw,Student210,Name210,2000-01-01,Right,64.16,93.36,41.11,71.84,70.03,55.50,53.24,60.02,52.99,43.33,50.33,40.47
211,Slytherin,Student211,Name211,2000-01-01,Right,70.83,80.34,45.74,48.78,65.40,45.62,61.48,63.76,71.39,44.02,55.77,54.75
212,Gryffindor,Student212,Name212,2000-01-01,Right,64.09,20.35,69.64,81.20,46.30,67.41,97.50,68.77,58.42,48.56,88.17,49.81
213,Hufflepuff,Student213,Name213,2000-01-01,Right,50.60,41.20,76.24,48.99,61.63,64.54,57.52,49.65,35.41,48.37,65.75,47.54
214,Ravenclaw,Student214,Name214,2000-01-01,Left,59.30,89.73,42.55,31.70,55.04,65.87,74.01,69.57,68.72,35.46,70.03,57.45
215,Slytherin,Student215,Name215,2000-01-01,Right,44.53,60.30,54.98,57.74,45.78,55.99,66.41,56.01,44.02,44.17,53.59,50.93
216,Gryffindor,Student216,Name216,2000-01-01,Right,46.92,45.79,55.16,84.06,22.52,48.09,47.07,95.77,74.98,57.96,36.21,72.37
217,Hufflepuff,Student217,Name217,2000-01-01,Left,28.69,61.40,71.49,51.79,75.65,22.64,74.04,75.46,35.30,70.22,42.82,34.36
218,Ravenclaw,Student218,Name218,2000-01-01,Left,71.21,62.09,79.75,67.76,52.62,57.74,88.34,49.16,62.83,58.86,56.17,52.21
219,Slytherin,Student219,Name219,2000-01-01,Right,66.55,36.46,67.35,64.19,54.86,54.23,64.68,61.22,57.96,67.34,46.75,47.33
220,Gryffindor,Student220,Name220,2000-01-01,Left,33.85,49.97,66.27,74.54,51.51,57.60,63.72,37.85,41.61,35.23,72.58,21.55
221,Hufflepuff,Student221,Name221,2000-01-01,Right,43.09,69.56,37.03,53.18,40.13,59.78,60.61,66.89,56.17,86.30,55.93,44.87
222,Ravenclaw,Student222,Name222,2000-01-01,Right,44.84,60.29,90.52,54.90,77.74,67.91,62.14,92.46,69.42,52.47,75.56,49.76
223,Slytherin,Student223,Name223,2000-01-01,Right,64.12,36.58,60.41,35.46,59.00,62.97,68.02,28.23,58.08,68.15,43.87,20.32
224,Gryffindor,Student224,Name224,2000-01-01,Right,41.06,36.26,85.90,67.67,32.12,50.63,43.49,50.39,61.15,65.48,59.45,64.91
225,Hufflepuff,Student225,Name225,2000-01-01,Right,57.38,62.57,63.07,17.11,62.41,49.00,74.75,57.74,72.46,42.14,71.97,25.53
226,Ravenclaw,Student226,Name226,2000-01-01,Right,44.92,90.53,44.51,59.22,57.40,62.70,85.07,95.56,74.92,18.15,59.51,42.52
227,Slytherin,Student227,Name227,2000-01-01,Right,48.03,17.66,47.46,49.62,42.10,40.06,51.99,71.47,71.88,87.39,89.68,43.44
228,Gryffindor,Student228,Name228,2000-01-01,Right,88.85,38.60,74.95,74.12,79.54,31.30,53.52,69.05,67.61,51.80,59.68,53.95
229,Hufflepuff,Student229,Name229,2000-01-01,Right,70.40,82.15,90.00,62.47,34.91,35.99,43.88,58.88,50.02,60.62,54.70,57.17
230,Ravenclaw,Student230,Name230,2000-01-01,Left,51.63,81.00,80.58,48.99,45.38,55.64,58.35,63.02,35.28,58.85,51.67,31.42
231,Slytherin,Student231,Name231,2000-01-01,Left,85.95,62.96,41.34,72.62,55.62,43.24,67.00,62.76,52.87,51.24,60.32,51.04
232,Gryffindor,Student232,Name232,2000-01-01,Right,36.98,28.72,90.17,76.94,61.04,77.11,53.82,55.78,62.68,64.36,52.18,42.31
233,Hufflepuff,Student233,Name233,2000-01-01,Right,53.83,67.14,70.37,54.77,29.16,47.49,63.08,66.67,38.74,60.51,44.33,32.71
234,Ravenclaw,Student234,Name234,2000-01-01,Left,79.06,66.48,48.39,60.99,67.16,44.29,51.10,75.44,61.52,49.44,55.78,47.37
235,Slytherin,Student235,Name235,2000-01-01,Right,48.89,61.92,43.60,76.72,51.76,56.73,83.20,59.46,51.85,64.48,44.59,70.57
236,Gryffindor,Student236,Name236,2000-01-01,Right,33.90,29.82,69.96,46.68,28.80,59.09,61.41,37.37,72.56,43.45,88.48,80.42
237,Hufflepuff,Student237,Name237,2000-01-01,Right,22.78,54.57,77.03,28.56,49.47,54.79,55.42,45.77,89.95,51.06,57.80,42.73
238,Ravenclaw,Student238,Name238,2000-01-01,Right,85.99,63.82,71.07,54.64,65.84,45.00,93.16,47.33,78.57,61.08,54.35,58.01
239,Slytherin,Student239,Name239,2000-01-01,Left,30.55,57.93,49.77,39.60,34.51,42.79,52.70,54.35,33.48,56.73,86.71,42.36
240,Gryffindor,Student240,Name240,2000-01-01,Right,59.92,47.30,41.57,66.94,32.51,57.83,29.53,51.86,71.71,57.81,72.71,81.14
241,Hufflepuff,Student241,Name241,2000-01-01,Right,85.56,62.60,64.59,59.63,54.10,26.23,57.42,53.17,55.24,43.38,51.69,67.13
242,Ravenclaw,Student242,Name242,2000-01-01,Right,94.66,82.50,76.95,85.33,33.73,64.81,63.10,80.46,59.09,47.33,71.72,77.14
243,Slytherin,Student243,Name243,2000-01-01,Right,61.80,19.91,52.79,43.72,57.01,55.89,51.91,49.65,73.33,45.19,64.65,56.78
244,Gryffindor,Student244,Name244,2000-01-01,Right,55.91,30.29,22.70,79.07,41.62,38.48,57.93,34.07,54.91,49.20,74.21,67.76
245,Hufflepuff,Student245,Name245,2000-01-01,Right,68.33,82.24,58.11,42.77,71.45,87.23,54.85,32.08,46.76,69.47,65.17,66.69
246,Ravenclaw,Student246,Name246,2000-01-01,Right,83.50,48.06,44.79,44.33,57.46,56.63,69.85,39.84,97.98,56.85,52.78,33.75
247,Slytherin,Student247,Name247,2000-01-01,Left,59.59,77.12,31.62,96.83,40.17,32.69,50.09,59.73,54.79,86.82,42.65,29.90
248,Gryffindor,Student248,Name248,2000-01-01,Right,64.37,50.76,39.89,45.39,29.76,65.39,40.22,42.01,64.24,58.42,81.40,63.43
249,Hufflepuff,Student249,Name249,2000-01-01,Right,53.35,78.58,79.86,42.09,70.02,80.66,76.93,39.00,56.56,35.78,42.92,30.82
250,Ravenclaw,Student250,Name250,2000-01-01,Right,40.95,22.03,49.08,70.59,56.93,57.60,59.91,46.13,73.90,77.45,68.21,68.27
251,Slytherin,Student251,Name251,2000-01-01,Right,78.64,37.59,16.04,58.67,66.54,19.16,62.85,56.17,63.05,78.36,64.12,31.24
252,Gryffindor,Student252,Name252,2000-01-01,Left,44.20,27.74,66.90,77.48,44.53,37.16,53.19,36.93,59.17,67.49,70.05,51.39
253,Hufflepuff,Student253,Name253,2000-01-01,Right,23.81,36.93,98.38,63.62,24.84,59.91,45.70,63.55,77.76,64.81,61.52,57.62
254,Ravenclaw,Student254,Name254,2000-01-01,Right,40.39,51.20,37.38,58.45,54.42,29.54,43.88,66.65,74.44,74.07,76.99,50.36
255,Slytherin,Student255,Name255,2000-01-01,Right,72.48,72.24,19.58,61.67,67.62,55.88,49.81,38.66,69.40,66.81,64.72,57.35
256,Gryffindor,Student256,Name256,2000-01-01,Right,63.18,41.17,59.87,61.55,35.65,31.13,50.17,73.07,55.60,61.54,45.12,78.36
257,Hufflepuff,Student257,Name257,2000-01-01,Left,60.65,43.71,63.86,73.41,43.80,52.25,92.57,23.10,32.23,81.96,48.86,57.50
258,Ravenclaw,Student258,Name258,2000-01-01,Right,83.28,57.51,53.27,78.95,76.58,72.92,57.28,60.12,50.45,71.17,94.84,57.14
259,Slytherin,Student259,Name259,2000-01-01,Left,55.38,48.97,67.08,59.26,48.29,42.54,54.24,35.53,41.21,82.91,46.46,56.39
260,Gryffindor,Student260,Name260,2000-01-01,Right,41.33,30.73,43.35,51.21,42.44,70.30,68.40,71.46,78.89,69.63,65.45,69.98
261,Hufflepuff,Student261,Name261,2000-01-01,Left,58.18,64.50,68.51,68.19,61.99,82.32,53.80,59.08,39.77,55.23,67.27,44.52
262,Ravenclaw,Student262,Name262,2000-01-01,Left,54.55,36.20,61.38,35.82,63.86,60.25,41.01,63.23,74.27,61.85,70.30,94.59
263,Slytherin,Student263,Name263,2000-01-01,Left,53.29,51.53,46.94,63.79,43.20,71.11,50.57,72.69,75.90,84.21,83.11,63.34
264,Gryffindor,Student264,Name264,2000-01-01,Right,56.76,52.39,35.66,77.98,49.79,45.42,53.78,41.25,28.82,77.42,57.97,79.67
265,Hufflepuff,Student265,Name265,2000-01-01,Right,61.69,34.36,72.13,42.97,53.27,55.08,63.27,51.87,32.68,65.10,62.29,28.61
266,Ravenclaw,Student266,Name266,2000-01-01,Left,59.71,74.69,72.41,59.10,81.34,20.68,88.00,89.70,76.71,65.06,76.20,53.33
267,Slytherin,Student267,Name267,2000-01-01,Right,53.64,28.33,47.16,40.45,11.99,28.55,53.42,38.06,31.95,66.63,73.25,67.44
268,Gryffindor,Student268,Name268,2000-01-01,Left,37.25,58.57,33.51,88.98,3.43,34.04,70.29,57.24,76.10,79.31,78.08,40.72
269,Hufflepuff,Student269,Name269,2000-01-01,Left,43.88,55.58,74.74,49.10,58.68,81.22,45.99,61.27,23.92,61.85,27.00,59.47
270,Ravenclaw,Student270,Name270,2000-01-01,Right,82.92,76.94,46.02,49.27,43.69,65.02,71.55,65.01,48.47,42.31,58.99,66.83
271,Slytherin,Student271,Name271,2000-01-01,Left,42.59,17.62,41.73,63.79,52.80,61.27,40.61,42.30,33.36,73.69,53.43,47.79
272,Gryffindor,Student272,Name272,2000-01-01,Right,52.42,53.49,73.64,36.03,40.25,67.59,48.64,45.61,64.24,62.08,55.04,41.53
273,Hufflepuff,Student273,Name273,2000-01-01,Left,47.58,48.80,83.57,43.64,29.79,66.97,53.52,47.99,20.55,72.55,65.45,32.95
274,Ravenclaw,Student274,Name274,2000-01-01,Right,49.07,71.73,57.76,52.81,41.56,55.14,98.48,75.55,74.12,40.39,31.24,48.23
275,Slytherin,Student275,Name275,2000-01-01,Left,38.61,38.49,55.28,70.72,24.94,26.66,45.22,49.62,88.10,65.71,55.93,43.04
276,Gryffindor,Student276,Name276,2000-01-01,Right,66.19,36.96,65.35,81.50,37.30,26.30,42.94,72.23,75.16,36.83,79.51,56.63
277,Hufflepuff,Student277,Name277,2000-01-01,Left,46.17,46.26,57.37,68.51,76.59,57.46,72.16,50.40,45.46,42.57,65.46,59.27
278,Ravenclaw,Student278,Name278,2000-01-01,Right,49.91,55.45,28.37,67.34,66.69,44.66,80.65,42.67,61.64,54.52,78.66,67.68
279,Slytherin,Student279,Name279,2000-01-01,Left,60.01,41.11,42.40,71.09,62.24,25.55,52.97,74.10,81.95,75.55,79.14,73.12
280,Gryffindor,Student280,Name280,2000-01-01,Right,66.32,21.45,44.76,65.85,50.75,23.76,44.81,71.55,73.30,48.38,99.42,54.00
281,Hufflepuff,Student281,Name281,2000-01-01,Right,52.71,54.22,69.82,70.88,60.85,30.26,70.91,26.05,43.91,34.21,55.61,31.14
282,Ravenclaw,Student282,Name282,2000-01-01,Right,76.33,26.80,47.43,64.02,56.04,46.20,73.30,80.99,53.63,66.06,57.58,47.24
283,Slytherin,Student283,Name283,2000-01-01,Right,59.58,63.43,42.82,51.58,57.53,55.89,93.05,60.94,38.49,55.33,35.47,56.16
284,Gryffindor,Student284,Name284,2000-01-01,Right,52.78,27.18,56.79,79.39,61.18,57.39,33.92,59.38,68.89,60.79,63.07,78.12
285,Hufflepuff,Student285,Name285,2000-01-01,Right,59.94,79.58,20.31,40.36,73.88,22.18,77.27,56.23,19.37,65.88,39.21,36.31
286,Ravenclaw,Student286,Name286,2000-01-01,Right,64.57,52.97,81.20,36.79,45.91,67.29,58.24,97.32,71.37,41.93,70.31,34.60
287,Slytherin,Student287,Name287,2000-01-01,Left,67.87,44.15,8.64,56.82,68.62,77.59,58.23,49.57,75.48,78.94,59.43,25.31
288,Gryffindor,Student288,Name288,2000-01-01,Right,64.80,51.32,43.00,30.78,48.41,28.64,73.10,40.81,69.46,68.68,56.85,70.59
289,Hufflepuff,Student289,Name289,2000-01-01,Left,60.26,36.57,60.39,45.11,54.19,74.84,44.08,43.34,72.31,57.38,34.03,45.34
290,Ravenclaw,Student290,Name290,2000-01-01,Right,70.75,45.10,48.23,49.45,66.39,51.90,67.92,52.64,86.86,68.21,51.10,55.74
291,Slytherin,Student291,Name291,2000-01-01,Right,41.72,53.01,54.78,71.29,55.54,26.99,68.11,47.93,40.34,40.17,61.77,31.71
292,Gryffindor,Student292,Name292,2000-01-01,Right,68.10,34.05,47.76,67.39,65.20,50.64,14.63,41.59,51.61,78.46,71.32,57.16
293,Hufflepuff,Student293,Name293,2000-01-01,Right,44.06,40.73,75.62,58.98,60.01,51.50,66.24,79.43,67.55,31.55,98.94,30.12
294,Ravenclaw,Student294,Name294,2000-01-01,Right,58.17,61.18,56.22,57.80,57.35,37.87,61.18,71.87,61.15,49.29,41.46,28.03
295,Slytherin,Student295,Name295,2000-01-01,Right,40.23,56.34,38.19,78.67,36.91,39.28,53.58,64.50,66.27,70.34,59.38,79.22
296,Gryffindor,Student296,Name296,2000-01-01,Right,54.32,33.20,51.72,39.41,31.24,53.27,43.51,67.86,69.21,73.30,76.18,40.12
297,Hufflepuff,Student297,Name297,2000-01-01,Left,43.62,52.18,74.52,46.08,57.59,61.33,51.23,54.83,36.69,47.48,27.44,32.50
298,Ravenclaw,Student298,Name298,2000-01-01,Right,17.26,50.22,24.48,59.52,52.91,62.96,68.38,40.85,60.73,71.22,49.95,49.01
299,Slytherin,Student299,Name299,2000-01-01,Right,44.82,25.16,52.20,40.59,59.09,60.56,51.11,53.12,75.88,63.03,78.98,50.07
300,Gryffindor,Student300,Name300,2000-01-01,Right,43.34,48.17,49.61,70.42,41.97,53.25,58.78,81.55,49.13,67.93,55.56,66.30
301,Hufflepuff,Student301,Name301,2000-01-01,Right,44.50,75.91,42.03,46.22,60.96,49.90,46.09,52.45,41.86,43.24,38.74,26.60
302,Ravenclaw,Student302,Name302,2000-01-01,Right,46.68,87.94,36.08,53.56,71.68,42.20,44.71,67.29,56.80,54.91,68.04,55.18
303,Slytherin,Student303,Name303,2000-01-01,Right,62.31,59.37,29.55,78.16,57.99,52.35,68.98,27.80,37.99,71.98,57.17,63.63
304,Gryffindor,Student304,Name304,2000-01-01,Right,54.41,40.63,47.04,66.04,42.09,46.92,45.43,47.77,59.51,64.44,79.59,59.74
305,Hufflepuff,Student305,Name305,2000-01-01,Right,78.76,57.79,63.55,39.59,69.06,68.41,85.12,53.63,63.52,79.81,33.49,34.20
306,Ravenclaw,Student306,Name306,2000-01-01,Right,79.14,85.04,47.81,78.98,50.93,68.77,55.87,59.16,59.59,59.74,73.77,78.40
307,Slytherin,Student307,Name307,2000-01-01,Right,52.52,54.12,59.02,69.70,46.82,42.21,63.75,32.65,67.73,81.58,68.94,69.90
308,Gryffindor,Student308,Name308,2000-01-01,Right,70.66,24.38,44.22,55.31,41.93,53.25,39.36,47.98,68.55,29.93,45.31,78.58
309,Hufflepuff,Student309,Name309,2000-01-01,Right,56.68,31.89,76.57,54.63,44.20,61.56,62.75,45.52,60.99,44.25,63.81,71.86
310,Ravenclaw,Student310,Name310,2000-01-01,Right,63.37,61.47,71.85,55.99,55.02,42.92,59.36,71.62,58.35,45.65,74.65,37.56
311,Slytherin,Student311,Name311,2000-01-01,Right,56.38,72.37,45.48,44.52,53.63,28.17,46.92,63.90,54.70,82.83,41.90,74.45
312,Gryffindor,Student312,Name312,2000-01-01,Right,63.49,22.61,54.78,53.68,42.21,41.54,53.36,64.80,49.99,71.12,52.33,42.79
313,Hufflepuff,Student313,Name313,2000-01-01,Left,56.51,54.66,77.07,54.55,69.33,52.80,64.77,59.16,53.65,57.01,22.65,78.76
314,Ravenclaw,Student314,Name314,2000-01-01,Right,46.55,61.89,20.37,34.18,69.16,35.60,55.66,68.77,50.05,32.43,64.12,53.82
315,Slytherin,Student315,Name315,2000-01-01,Right,49.16,48.92,46.97,63.56,50.02,45.36,87.94,92.51,57.60,56.24,39.25,67.20
316,Gryffindor,Student316,Name316,2000-01-01,Right,49.54,34.36,65.36,76.59,61.00,20.79,27.71,81.47,56.60,75.20,71.81,97.49
317,Hufflepuff,Student317,Name317,2000-01-01,Right,53.93,70.30,74.56,53.61,45.02,94.96,67.27,19.47,69.56,35.71,34.42,39.53
318,Ravenclaw,Student318,Name318,2000-01-01,Right,46.28,55.06,51.80,16.80,43.88,59.26,61.98,63.17,69.18,58.74,32.86,14.16
319,Slytherin,Student319,Name319,2000-01-01,Right,61.64,62.96,62.38,55.00,78.29,46.73,60.07,56.63,42.16,45.31,85.84,70.96
320,Gryffindor,Student320,Name320,2000-01-01,Right,30.74,65.31,50.65,100.00,31.57,19.95,39.99,50.06,57.22,24.67,62.71,74.73
321,Hufflepuff,Student321,Name321,2000-01-01,Left,48.58,49.08,96.43,70.95,45.05,40.23,35.75,38.28,45.74,53.86,34.24,52.32
322,Ravenclaw,Student322,Name322,2000-01-01,Right,100.00,62.06,61.83,42.20,93.23,51.73,62.99,75.44,60.56,52.68,70.21,33.70
323,Slytherin,Student323,Name323,2000-01-01,Right,45.00,49.77,41.38,51.44,72.97,41.58,37.79,55.69,65.29,70.77,43.38,48.51
324,Gryffindor,Student324,Name324,2000-01-01,Right,48.85,58.88,56.37,86.88,34.15,40.66,39.69,50.08,55.59,41.21,67.41,55.37
325,Hufflepuff,Student325,Name325,2000-01-01,Left,68.35,69.42,70.92,56.82,53.62,70.91,41.62,61.07,73.09,85.10,71.02,71.92
326,Ravenclaw,Student326,Name326,2000-01-01,Left,20.63,65.12,60.58,40.32,55.16,29.14,59.04,83.33,51.23,48.75,63.07,45.09
327,Slytherin,Student327,Name327,2000-01-01,Right,39.08,53.11,32.13,64.20,37.65,59.74,70.53,45.19,62.57,70.95,80.91,26.48
328,Gryffindor,Student328,Name328,2000-01-01,Left,30.71,30.04,66.92,93.23,31.24,67.72,25.58,51.92,71.30,45.61,55.18,85.65
329,Hufflepuff,Student329,Name329,2000-01-01,Left,68.48,78.67,58.94,68.07,28.74,47.31,63.04,58.87,51.79,67.97,51.96,61.44
330,Ravenclaw,Student330,Name330,2000-01-01,Right,67.83,81.13,59.28,44.18,26.73,34.78,56.80,69.92,88.94,58.50,46.29,19.68
331,Slytherin,Student331,Name331,2000-01-01,Right,67.94,54.37,49.34,63.28,63.68,31.94,74.88,52.49,55.59,63.77,54.32,63.69
332,Gryffindor,Student332,Name332,2000-01-01,Right,59.71,31.49,55.20,82.26,39.43,44.32,51.91,46.93,44.62,29.52,52.24,80.19
333,Hufflepuff,Student333,Name333,2000-01-01,Right,43.42,51.98,32.72,63.46,51.97,51.14,37.68,42.81,37.30,40.43,33.80,46.85
334,Ravenclaw,Student334,Name334,2000-01-01,Right,59.29,80.31,55.46,39.75,52.26,63.69,64.93,65.19,76.63,28.31,55.61,64.03
335,Slytherin,Student335,Name335,2000-01-01,Left,92.08,32.91,42.99,60.29,38.69,50.29,60.21,51.79,44.17,81.02,41.04,49.42
336,Gryffindor,Student336,Name336,2000-01-01,Left,48.79,25.14,46.54,78.11,35.20,55.21,53.00,17.22,68.07,33.69,54.66,89.14
337,Hufflepuff,Student337,Name337,2000-01-01,Right,29.89,70.30,75.11,61.30,41.43,44.23,52.10,75.74,51.13,57.74,72.67,55.70
338,Ravenclaw,Student338,Name338,2000-01-01,Left,79.51,72.12,44.76,31.40,60.92,63.52,51.29,65.55,54.85,79.90,81.74,49.79
339,Slytherin,Student339,Name339,2000-01-01,Right,46.04,75.30,49.86,58.48,50.93,39.30,50.37,51.83,70.04,46.79,58.61,48.26
340,Gryffindor,Student340,Name340,2000-01-01,Right,50.17,65.76,32.02,78.61,61.30,53.48,52.39,31.96,76.87,53.10,54.58,53.21
341,Hufflepuff,Student341,Name341,2000-01-01,Right,51.97,51.81,86.81,43.03,54.55,81.39,64.93,84.74,56.89,47.06,71.11,63.84
342,Ravenclaw,Student342,Name342,2000-01-01,Right,75.98,75.47,69.33,73.07,64.39,55.25,68.56,48.34,53.11,46.78,72.44,54.68
343,Slytherin,Student343,Name343,2000-01-01,Left,34.52,26.48,66.01,59.60,70.07,52.91,52.00,24.67,62.68,77.76,81.27,51.96
344,Gryffindor,Student344,Name344,2000-01-01,Right,55.51,24.85,63.04,91.48,39.93,56.28,63.90,39.72,48.42,59.80,56.82,55.80
345,Hufflepuff,Student345,Name345,2000-01-01,Left,40.97,74.91,65.52,77.94,71.39,50.24,62.90,58.65,46.68,66.25,54.62,50.42
346,Ravenclaw,Student346,Name346,2000-01-01,Right,63.03,71.62,79.37,58.47,61.80,44.07,61.02,43.38,50.59,51.40,47.60,47.35
347,Slytherin,Student347,Name347,2000-01-01,Right,49.96,41.37,40.41,54.38,44.49,44.19,64.03,43.20,62.06,62.81,48.19,55.63
348,Gryffindor,Student348,Name348,2000-01-01,Right,61.34,21.18,31.99,66.23,44.47,64.32,45.48,46.45,69.29,50.64,28.54,66.70
349,Hufflepuff,Student349,Name349,2000-01-01,Left,56.67,49.96,36.93,37.38,42.56,67.25,47.78,28.00,49.57,59.30,66.54,55.46
350,Ravenclaw,Student350,Name350,2000-01-01,Right,76.57,63.34,47.13,36.75,66.81,72.02,65.16,86.02,75.78,77.50,58.90,53.60
351,Slytherin,Student351,Name351,2000-01-01,Right,49.57,62.94,29.23,33.24,54.72,53.20,48.91,57.89,84.41,100.00,41.91,59.90
352,Gryffindor,Student352,Name352,2000-01-01,Right,63.27,39.29,37.35,88.40,23.13,60.19,35.00,37.84,65.74,79.90,70.27,59.86
353,Hufflepuff,Student353,Name353,2000-01-01,Right,40.72,59.89,63.65,7.67,40.07,49.75,67.70,54.47,46.70,65.10,56.94,47.53
354,Ravenclaw,Student354,Name354,2000-01-01,Right,65.54,53.80,31.95,48.67,67.77,51.10,78.67,68.30,74.26,65.96,55.50,44.61
355,Slytherin,Student355,Name355,2000-01-01,Right,72.70,58.27,66.24,47.95,45.60,18.75,73.06,74.81,47.72,51.74,71.87,43.94
356,Gryffindor,Student356,Name356,2000-01-01,Right,47.63,20.49,59.48,72.41,46.82,36.25,56.38,35.79,80.43,32.64,63.18,86.58
357,Hufflepuff,Student357,Name357,2000-01-01,Right,80.94,56.87,60.54,58.61,73.07,64.78,65.45,69.31,50.88,59.75,53.27,35.11
358,Ravenclaw,Student358,Name358,2000-01-01,Right,55.30,54.99,52.17,67.22,53.71,59.92,81.96,74.68,79.42,59.62,80.24,59.02
359,Slytherin,Student359,Name359,2000-01-01,Right,65.51,55.90,28.84,53.68,44.29,36.90,41.75,33.70,55.14,75.78,57.22,41.93
360,Gryffindor,Student360,Name360,2000-01-01,Right,68.93,51.95,42.69,76.41,36.34,68.18,62.64,51.94,80.70,53.39,76.18,64.00
361,Hufflepuff,Student361,Name361,2000-01-01,Left,81.60,62.71,74.51,63.79,56.43,30.67,58.82,58.26,82.54,44.19,73.86,29.60
362,Ravenclaw,Student362,Name362,2000-01-01,Left,67.48,58.16,46.94,55.99,64.75,73.03,70.23,82.49,64.06,72.21,63.96,41.78
363,Slytherin,Student363,Name363,2000-01-01,Right,79.71,52.29,42.69,56.17,55.89,55.76,65.07,29.82,75.67,77.16,69.86,55.78
364,Gryffindor,Student364,Name364,2000-01-01,Left,63.18,22.34,56.94,67.78,59.61,33.93,51.73,64.58,66.80,53.99,47.96,92.61
365,Hufflepuff,Student365,Name365,2000-01-01,Right,61.88,71.29,36.93,58.94,66.21,61.52,41.72,52.52,43.13,60.44,47.02,61.47
366,Ravenclaw,Student366,Name366,2000-01-01,Right,73.59,100.00,22.58,54.78,38.32,33.11,86.27,47.49,83.76,58.51,63.38,58.45
